yr,SPG_proxy_annual,SPG_proxy_anom_annual
1993,35.3696387608846,-0.0320672886345932
1994,35.3629299799601,-0.0387760695590771
1995,35.3641262054443,-0.0375798440748625
1996,35.3720191319784,-0.0296869175408432
1997,35.406055132548,0.00434908302881354
1998,35.3790553410848,-0.0226507084343979
1999,35.4184306462606,0.0167245967413834
2000,35.4016586939494,-4.7355569819274e-05
2001,35.4000870386759,-0.00161901084325677
2002,35.4225908915202,0.0208848420009815
2003,35.4541784922282,0.0524724427089893
2004,35.4184144337972,0.0167083842780045
2005,35.4360748926798,0.0343688431606495
2006,35.4499219258626,0.0482158763434342
2007,35.4501943588257,0.0484883093064852
2008,35.457660039266,0.0559539897467545
2009,35.4509954452515,0.0492893957322664
2010,35.4640769958496,0.062370946330411
2011,35.4565544128418,0.0548483633225985
2012,35.4238335291545,0.0221274796352589
2013,35.4201157887777,0.0184097392584732
2014,35.4087870915731,0.00708104205388338
2015,35.3786919911702,-0.0230140583489487
2016,35.3302380243937,-0.0714680251254833
2017,35.3380886713664,-0.0636173781528271
2018,35.3731972376506,-0.0285088118686474
2019,35.3632726669312,-0.0384333825880461
2020,35.3492991129557,-0.0524069365634716
2021,35.3527609507243,-0.0489450987949169
2022,35.3716983795166,-0.0300076700025969
2023,35.4082412719727,0.00653522245345783
