"x","y"
1,-3.38063991681695
8.28,-3.41044183480241
15.56,-3.52439594381841
22.84,-3.54271713010825
30.12,-3.54865232207733
37.4,-3.55974516746051
44.68,-3.58591657856358
51.96,-3.55362158295699
59.24,-3.53731780459221
66.52,-3.48874112049949
73.8,-3.40710695519925
81.08,-3.29225352977908
88.36,-2.92564007750457
95.64,-2.85149675347063
102.92,-2.82514510721606
110.2,-2.82959191491703
117.48,-2.85038483382727
124.76,-2.90470994520666
132.04,-2.95126620560355
139.32,-2.97134698978581
146.6,-3.0294886809778
153.88,-3.03819088091914
161.16,-3.04072475710801
168.44,-3.10981516235717
175.72,-3.18214616344035
183,-3.18342545037003
190.28,-3.1798533478596
197.56,-3.19709497115304
204.84,-3.15675341626146
212.12,-3.3389558643348
219.4,-3.32826853954671
226.68,-3.26488802362344
233.96,-3.221782487901
241.24,-3.20158561136786
248.52,-3.17125999766973
255.8,-3.15347854093318
263.08,-3.15722753264812
270.36,-3.13928453988232
277.64,-3.14060296556388
284.92,-3.13864068759926
292.2,-3.14400698839576
299.48,-3.19710082537202
306.76,-3.24284320586581
314.04,-3.26051844158157
321.32,-3.29644904529929
328.6,-3.3358824417051
335.88,-3.36984357679596
343.16,-3.37422912041471
350.44,-3.38263289520258
357.72,-3.38712499664544
365,-3.19210186923896
