"x","y"
22,-3.33359862975025
25.06,-3.33359959272795
28.12,-3.33359959272795
31.18,-3.33353095302354
34.24,-3.33342041147001
37.3,-3.33390969931024
40.36,-3.33402512729813
43.42,-3.33404903010463
46.48,-3.33448325899691
49.54,-3.31170315232161
52.6,-3.28064364743664
55.66,-3.24686589078396
58.72,-3.22864029526811
61.78,-3.20648286151918
64.84,-3.18569381084112
67.9,-3.1710024135954
70.96,-3.15391801707834
74.02,-3.14274540849284
77.08,-3.14288437337741
80.14,-3.13439034861283
83.2,-3.12553644393604
86.26,-3.11776816481757
89.32,-3.11425613032947
92.38,-3.1154533138876
95.44,-3.1172032642125
98.5,-3.11473877584
101.56,-3.1185272300716
104.62,-3.1245813468728
107.68,-3.12520654552082
110.74,-3.13874199629994
113.8,-3.12862752148685
116.86,-3.12315086542853
119.92,-3.11090880445803
122.98,-3.1093489632285
126.04,-3.10963462120751
129.1,-3.11082864387517
132.16,-3.12025254127118
135.22,-3.12260610664814
138.28,-3.13491006787563
141.34,-3.14546556592979
144.4,-3.15177192089114
147.46,-3.1395115927396
150.52,-3.13792021786233
153.58,-3.14918514902207
156.64,-3.15690606108206
159.7,-3.16028194417145
162.76,-3.1576992044757
165.82,-3.16033622602641
168.88,-3.15794772192488
171.94,-3.1596072366982
175,-3.16024456912926
