"x","y"
-5.00023864960179,-3.44459036064915
-4.88428560861158,-3.44459036064915
-4.76833256762138,-3.44459036064915
-4.65237952663117,-3.44492894607174
-4.53642648564097,-3.4453478945179
-4.42047344465076,-3.44511112746976
-4.30452040366056,-3.44537721716127
-4.18856736267035,-3.44193233403828
-4.07261432168015,-3.44174265885808
-3.95666128068995,-3.43818971757954
-3.84070823969974,-3.43738737178552
-3.72475519870954,-3.43703198222918
-3.60880215771933,-3.43265406429908
-3.49284911672913,-3.43275467661812
-3.37689607573892,-3.43268908819927
-3.26094303474872,-3.43224905992249
-3.14498999375851,-3.43286284329491
-3.02903695276831,-3.43517455885126
-2.9130839117781,-3.44144451830305
-2.7971308707879,-3.43941391621836
-2.68117782979769,-3.44912436934786
-2.56522478880749,-3.4568808479995
-2.44927174781729,-3.45815571731088
-2.33331870682708,-3.45678635546997
-2.21736566583688,-3.44004835583836
-2.10141262484667,-3.42475818706443
-1.98545958385647,-3.42609544723618
-1.86950654286626,-3.41228069287946
-1.75355350187606,-3.40325548254073
-1.63760046088585,-3.36242669096528
-1.52164741989565,-3.33169041102177
-1.40569437890544,-3.31212610056684
-1.28974133791524,-3.29789159936044
-1.17378829692504,-3.1914290918162
-1.05783525593483,-3.17604603769307
-0.941882214944626,-3.13337243386857
-0.825929173954422,-3.08604689834518
-0.709976132964218,-3.06523615767852
-0.594023091974012,-3.07014768102229
-0.478070050983808,-3.0773190247539
-0.362117009993604,-3.09569980359142
-0.246163969003399,-3.11743235387882
-0.130210928013194,-3.15037942753675
-0.0142578870229899,-3.15834418936166
0.101695153967214,-3.19563563452176
0.21764819495742,-3.23458643963599
0.333601235947624,-3.23970051526516
0.449554276937828,-3.24809156421481
0.565507317928033,-3.24114651819878
0.681460358918238,-3.24008128260078
0.797413399908442,-3.24008128260078
