"x","y"
2.11180690924327,-3.05203444976041
2.46953607002894,-3.05305130855168
2.82726523081462,-3.04850045722984
3.18499439160029,-3.03267259295759
3.54272355238597,-3.02973059642685
3.90045271317164,-3.03063552886436
4.25818187395732,-3.0320158454114
4.61591103474299,-3.02164410705422
4.97364019552867,-3.02635894007021
5.33136935631434,-3.03345136931672
5.68909851710002,-3.04390616663269
6.04682767788569,-3.1237459671458
6.40455683867137,-3.18338405495714
6.76228599945704,-3.20637042811815
7.12001516024272,-3.22540092520542
7.47774432102839,-3.24690049491689
7.83547348181406,-3.26675628018749
8.19320264259974,-3.2882464522857
8.55093180338541,-3.33582677849274
8.90866096417109,-3.37132921376344
9.26639012495676,-3.39113020001282
9.62411928574244,-3.42982256783464
9.98184844652811,-3.46919219771173
10.3395776073138,-3.51917833092079
10.6973067680995,-3.53607991001367
11.0550359288851,-3.54215964319621
11.4127650896708,-3.55495340691654
11.7704942504565,-3.5797748043506
12.1282234112422,-3.6304480454086
12.4859525720278,-3.64409432374656
12.8436817328135,-3.64116689256349
13.2014108935992,-3.61143711881797
13.5591400543849,-3.60370251041753
13.9168692151705,-3.59745628833435
14.2745983759562,-3.60036078413023
14.6323275367419,-3.59971224215677
14.9900566975276,-3.59868694760184
15.3477858583132,-3.59482427260737
15.7055150190989,-3.59000626733652
16.0632441798846,-3.58644186606972
16.4209733406703,-3.58066493242988
16.7787025014559,-3.5756082245299
17.1364316622416,-3.57703598425989
17.4941608230273,-3.57721539428834
17.851889983813,-3.5757138003086
18.2096191445986,-3.57672821955132
18.5673483053843,-3.57402010883011
18.92507746617,-3.5730804327392
19.2828066269557,-3.57386546198971
19.6405357877413,-3.57572344918629
19.998264948527,-3.57237400513602
