"x","y"
-5.00023864960179,-4.04451603165169
-4.88428560861158,-4.04451603165169
-4.76833256762138,-4.04451603165169
-4.65237952663117,-4.04550887771806
-4.53642648564097,-4.04591610019763
-4.42047344465076,-4.04624747838041
-4.30452040366056,-4.04791598868613
-4.18856736267035,-4.04742047682085
-4.07261432168015,-4.04608924811993
-3.95666128068995,-4.04818863335894
-3.84070823969974,-4.05035975584029
-3.72475519870954,-4.05042921371727
-3.60880215771933,-4.04994452263279
-3.49284911672913,-4.04877185143074
-3.37689607573892,-4.05022071408155
-3.26094303474872,-4.0515562953477
-3.14498999375851,-4.0503396972012
-3.02903695276831,-4.06494572246011
-2.9130839117781,-4.07374998228862
-2.7971308707879,-4.08193127156644
-2.68117782979769,-4.06151259575301
-2.56522478880749,-4.06711382690139
-2.44927174781729,-4.06859785894525
-2.33331870682708,-4.03324395182443
-2.21736566583688,-3.98889784915893
-2.10141262484667,-3.95398584755506
-1.98545958385647,-3.92818840650676
-1.86950654286626,-3.90309595392162
-1.75355350187606,-3.85737632722515
-1.63760046088585,-3.78828697018351
-1.52164741989565,-3.72880529928226
-1.40569437890544,-3.62038652592827
-1.28974133791524,-3.44731815484185
-1.17378829692504,-3.34269538572944
-1.05783525593483,-3.2979579175267
-0.941882214944626,-3.2201976018601
-0.825929173954422,-2.98831496670873
-0.709976132964218,-2.89575504954396
-0.594023091974012,-2.85632276229541
-0.478070050983808,-2.80966219209748
-0.362117009993604,-2.78159431325833
-0.246163969003399,-2.77378746095106
-0.130210928013194,-2.78317684941386
-0.0142578870229899,-2.80796186535204
0.101695153967214,-2.85269639720206
0.21764819495742,-2.90321803398435
0.333601235947624,-2.93437064190614
0.449554276937828,-2.97671772646166
0.565507317928033,-3.01651460192849
0.681460358918238,-3.02452385839567
0.797413399908442,-3.04329921178142
